Va,Vb,Vout,Resistance
2.50,4.98,2.48,2550000.00
2.50,5.00,2.50,inf
2.50,4.99,2.49,5110000.00
2.50,4.58,2.09,111904.77
2.50,4.04,1.54,42244.90
2.50,3.83,1.34,33025.21
2.50,3.73,1.23,29384.62
2.50,3.67,1.18,27785.98
2.50,3.58,1.09,25432.53
2.50,3.57,1.08,25189.00
2.50,3.56,1.06,24829.93
2.50,3.59,1.09,25555.56
2.50,3.56,1.07,24948.81
2.50,3.56,1.06,24829.93
2.50,3.48,0.99,23032.26
2.50,3.40,0.91,21411.04
2.50,3.39,0.89,21124.62
2.50,3.37,0.87,20750.75
2.50,3.38,0.88,20936.56
2.50,3.37,0.87,20750.75
2.50,3.40,0.90,21219.51
2.50,3.38,0.88,20936.56
2.50,3.37,0.87,20750.75
2.50,3.36,0.87,20658.68
2.50,3.38,0.88,20936.56
2.50,3.34,0.84,20206.49
2.50,3.34,0.85,20295.86
2.50,3.36,0.87,20658.68
2.50,3.35,0.85,20385.76
2.50,3.35,0.85,20385.76
2.50,3.37,0.87,20750.75
2.50,3.37,0.87,20658.68
2.50,3.36,0.86,20476.19
2.50,3.36,0.87,20658.68
2.50,3.38,0.88,20936.56
2.50,3.37,0.87,20750.75
2.50,3.37,0.88,20843.37
2.50,3.39,0.89,21030.30
2.50,3.37,0.88,20843.37
2.50,3.39,0.89,21124.62
2.50,3.38,0.89,21030.30
2.50,3.38,0.88,20936.56
2.50,3.37,0.88,20843.37
2.50,3.38,0.88,20936.56
2.50,3.36,0.87,20658.68
2.50,3.37,0.88,20843.37
2.50,3.35,0.86,20476.19
2.50,3.37,0.88,20843.37
2.50,3.37,0.88,20843.37
2.50,3.34,0.84,20206.49
2.50,3.36,0.86,20567.16
2.50,3.37,0.88,20843.37
2.50,3.35,0.86,20476.19
2.50,3.36,0.87,20658.68
2.50,3.36,0.86,20567.16
2.50,3.36,0.87,20658.68
2.50,3.37,0.88,20843.37
2.50,3.37,0.87,20750.75
2.50,3.35,0.85,20385.76
2.50,3.39,0.89,21124.62
2.50,3.38,0.89,21030.30
2.50,3.36,0.86,20567.16
2.50,3.35,0.86,20476.19
2.50,3.35,0.86,20476.19
2.50,3.35,0.85,20295.86
2.50,3.36,0.86,20476.19
2.50,3.35,0.86,20476.19
2.50,3.36,0.86,20567.16
2.50,3.34,0.85,20295.86
2.50,3.34,0.84,20206.49
2.50,3.37,0.88,20843.37
2.50,3.37,0.87,20750.75
2.50,3.36,0.86,20567.16
2.50,3.35,0.85,20385.76
2.50,3.35,0.85,20385.76
2.50,3.36,0.86,20567.16
2.50,3.35,0.85,20385.76
2.50,3.35,0.85,20385.76
2.50,3.34,0.84,20206.49
2.50,3.33,0.84,20117.65
2.50,3.33,0.83,19941.52
2.50,3.34,0.84,20206.49
2.50,3.35,0.85,20295.86
2.50,3.33,0.83,19941.52
2.50,3.35,0.85,20385.76
2.50,3.35,0.86,20476.19
2.50,3.33,0.83,20029.33
2.50,3.32,0.83,19854.23
2.50,3.33,0.84,20117.65
2.50,3.34,0.85,20295.86
2.50,3.33,0.84,20117.65
2.50,3.34,0.84,20206.49
2.50,3.33,0.83,19941.52
2.50,3.31,0.82,19681.16
2.50,3.31,0.82,19681.16
2.50,3.31,0.81,19595.38
2.50,3.31,0.82,19681.16
